Cityname,Theatre
Kakinada,INOX SRMT Mall
Kakinada,Chanakya Chandra Gupta
Kakinada,Surya Cinemax
Kakinada,SP Anand Cinemas
Kakinada,Devi Multiplex
Kakinada,Sri Tirumala Theatre 
Kakinada,Sri Srinivasa Talkies
